trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
135,False,"{'a': 0.002, 'e': 0.764907781102864}",25,0,-33.048932679686246,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
136,False,"{'a': 0.002, 'e': 0.7633794943368531}",30,0,-73.14898550602484,"{0: 19, 1: 5, 2: 5, 3: 1, 4: 0}",0
137,False,"{'a': 0.002, 'e': 0.7618542610898376}",30,0,-185.6952658367748,"{0: 16, 1: 3, 2: 7, 3: 2, 4: 2}",0
138,False,"{'a': 0.002, 'e': 0.7603320752608821}",20,0,-102.826437315059,"{0: 11, 1: 4, 2: 2, 3: 2, 4: 1}",0
139,False,"{'a': 0.002, 'e': 0.7588129307612413}",20,7,12.222682188243986,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.002, 'e': 0.7572968215143355}",25,0,-66.22258875648592,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
141,False,"{'a': 0.002, 'e': 0.7557837414557255}",30,0,-184.8360099527882,"{0: 17, 1: 5, 2: 4, 3: 1, 4: 3}",0
142,False,"{'a': 0.002, 'e': 0.754273684533089}",25,0,-74.85823365859065,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
143,False,"{'a': 0.002, 'e': 0.7527666447061963}",25,0,-104.71443320439818,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
144,False,"{'a': 0.002, 'e': 0.751262615946886}",25,0,-92.175759606786,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
145,False,"{'a': 0.002, 'e': 0.7497615922390413}",20,0,-149.5325850877632,"{0: 10, 1: 4, 2: 3, 3: 0, 4: 3}",0
146,False,"{'a': 0.002, 'e': 0.7482635675785653}",25,0,-107.57219005445049,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
147,False,"{'a': 0.002, 'e': 0.7467685359733571}",20,0,-22.284892574229584,"{0: 16, 1: 1, 2: 2, 3: 1, 4: 0}",0
148,False,"{'a': 0.002, 'e': 0.7452764914432887}",20,0,-100.49875594012838,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
149,False,"{'a': 0.002, 'e': 0.7437874280201796}",35,0,-126.06172290201896,"{0: 25, 1: 1, 2: 7, 3: 0, 4: 2}",0
150,False,"{'a': 0.002, 'e': 0.7423013397477743}",20,0,-96.92285726104417,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
151,False,"{'a': 0.002, 'e': 0.7408182206817179}",20,5,-91.94702855843875,"{0: 8, 1: 1, 2: 4, 3: 1, 4: 1}",1
152,False,"{'a': 0.002, 'e': 0.7393380648895319}",25,15,-56.97631421444746,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 1}",1
153,False,"{'a': 0.002, 'e': 0.7378608664505911}",20,0,-30.440942815225178,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
154,False,"{'a': 0.002, 'e': 0.7363866194561001}",20,0,13.945374277578193,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
155,False,"{'a': 0.002, 'e': 0.7349153180090687}",25,0,-32.04632424182593,"{0: 17, 1: 5, 2: 3, 3: 0, 4: 0}",0
